Cer,[M+C2H3O2]-,NL_C2H4CO2,M-H-H2CO,NL_H2O&SN1,NL_H2O&SN2amide,SN2amide
Cer(d10:0/10:0)+C2H3O2,402.3224,342.3013,312.2907,196.1707,153.1282,170.155
Cer(d10:0/12:0)+C2H3O2,430.3537,370.3326,340.322,224.202,153.1282,198.1863
Cer(d10:0/13:0)+C2H3O2,444.3694,384.3483,354.3377,238.2177,153.1282,212.202
Cer(d10:0/14:0)+C2H3O2,458.385,398.3639,368.3533,252.2333,153.1282,226.2176
Cer(d10:0/14:1)+C2H3O2,456.3694,396.3483,366.3377,250.2177,153.1282,224.202
Cer(d10:0/15:0)+C2H3O2,472.4007,412.3796,382.369,266.249,153.1282,240.2333
Cer(d10:0/15:1)+C2H3O2,470.385,410.3639,380.3533,264.2333,153.1282,238.2176
Cer(d10:0/16:0)+C2H3O2,486.4163,426.3952,396.3846,280.2646,153.1282,254.2489
Cer(d10:0/16:1)+C2H3O2,484.4007,424.3796,394.369,278.249,153.1282,252.2333
Cer(d10:0/17:0)+C2H3O2,500.432,440.4109,410.4003,294.2803,153.1282,268.2646
Cer(d10:0/17:1)+C2H3O2,498.4163,438.3952,408.3846,292.2646,153.1282,266.2489
Cer(d10:0/17:2)+C2H3O2,496.4007,436.3796,406.369,290.249,153.1282,264.2333
Cer(d10:0/18:0)+C2H3O2,514.4476,454.4265,424.4159,308.2959,153.1282,282.2802
Cer(d10:0/18:1)+C2H3O2,512.432,452.4109,422.4003,306.2803,153.1282,280.2646
Cer(d10:0/18:2)+C2H3O2,510.4163,450.3952,420.3846,304.2646,153.1282,278.2489
Cer(d10:0/18:3)+C2H3O2,508.4007,448.3796,418.369,302.249,153.1282,276.2333
Cer(d10:0/18:4)+C2H3O2,506.385,446.3639,416.3533,300.2333,153.1282,274.2176
Cer(d10:0/19:0)+C2H3O2,528.4633,468.4422,438.4316,322.3116,153.1282,296.2959
Cer(d10:0/20:0)+C2H3O2,542.4789,482.4578,452.4472,336.3272,153.1282,310.3115
Cer(d10:0/20:1)+C2H3O2,540.4633,480.4422,450.4316,334.3116,153.1282,308.2959
Cer(d10:0/20:2)+C2H3O2,538.4476,478.4265,448.4159,332.2959,153.1282,306.2802
Cer(d10:0/20:3)+C2H3O2,536.432,476.4109,446.4003,330.2803,153.1282,304.2646
Cer(d10:0/20:4)+C2H3O2,534.4163,474.3952,444.3846,328.2646,153.1282,302.2489
Cer(d10:0/20:5)+C2H3O2,532.4007,472.3796,442.369,326.249,153.1282,300.2333
Cer(d10:0/21:0)+C2H3O2,556.4946,496.4735,466.4629,350.3429,153.1282,324.3272
Cer(d10:0/22:0)+C2H3O2,570.5102,510.4891,480.4785,364.3585,153.1282,338.3428
Cer(d10:0/22:1)+C2H3O2,568.4946,508.4735,478.4629,362.3429,153.1282,336.3272
Cer(d10:0/22:2)+C2H3O2,566.4789,506.4578,476.4472,360.3272,153.1282,334.3115
Cer(d10:0/22:3)+C2H3O2,564.4633,504.4422,474.4316,358.3116,153.1282,332.2959
Cer(d10:0/22:4)+C2H3O2,562.4476,502.4265,472.4159,356.2959,153.1282,330.2802
Cer(d10:0/22:5)+C2H3O2,560.432,500.4109,470.4003,354.2803,153.1282,328.2646
Cer(d10:0/22:6)+C2H3O2,558.4163,498.3952,468.3846,352.2646,153.1282,326.2489
Cer(d10:0/23:0)+C2H3O2,584.5259,524.5048,494.4942,378.3742,153.1282,352.3585
Cer(d10:0/24:0)+C2H3O2,598.5415,538.5204,508.5098,392.3898,153.1282,366.3741
Cer(d10:0/24:1)+C2H3O2,596.5259,536.5048,506.4942,390.3742,153.1282,364.3585
Cer(d10:0/25:0)+C2H3O2,612.5572,552.5361,522.5255,406.4055,153.1282,380.3898
Cer(d10:0/26:0)+C2H3O2,626.5728,566.5517,536.5411,420.4211,153.1282,394.4054
Cer(d10:0/8:0)+C2H3O2,374.2911,314.27,284.2594,168.1394,153.1282,142.1237
Cer(d12:0/10:0)+C2H3O2,430.3537,370.3326,340.322,196.1707,181.1595,170.155
Cer(d12:0/12:0)+C2H3O2,458.385,398.3639,368.3533,224.202,181.1595,198.1863
Cer(d12:0/13:0)+C2H3O2,472.4007,412.3796,382.369,238.2177,181.1595,212.202
Cer(d12:0/14:0)+C2H3O2,486.4163,426.3952,396.3846,252.2333,181.1595,226.2176
Cer(d12:0/14:1)+C2H3O2,484.4007,424.3796,394.369,250.2177,181.1595,224.202
Cer(d12:0/15:0)+C2H3O2,500.432,440.4109,410.4003,266.249,181.1595,240.2333
Cer(d12:0/15:1)+C2H3O2,498.4163,438.3952,408.3846,264.2333,181.1595,238.2176
Cer(d12:0/16:0)+C2H3O2,514.4476,454.4265,424.4159,280.2646,181.1595,254.2489
Cer(d12:0/16:1)+C2H3O2,512.432,452.4109,422.4003,278.249,181.1595,252.2333
Cer(d12:0/17:0)+C2H3O2,528.4633,468.4422,438.4316,294.2803,181.1595,268.2646
Cer(d12:0/17:1)+C2H3O2,526.4476,466.4265,436.4159,292.2646,181.1595,266.2489
Cer(d12:0/17:2)+C2H3O2,524.432,464.4109,434.4003,290.249,181.1595,264.2333
Cer(d12:0/18:0)+C2H3O2,542.4789,482.4578,452.4472,308.2959,181.1595,282.2802
Cer(d12:0/18:1)+C2H3O2,540.4633,480.4422,450.4316,306.2803,181.1595,280.2646
Cer(d12:0/18:2)+C2H3O2,538.4476,478.4265,448.4159,304.2646,181.1595,278.2489
Cer(d12:0/18:3)+C2H3O2,536.432,476.4109,446.4003,302.249,181.1595,276.2333
Cer(d12:0/18:4)+C2H3O2,534.4163,474.3952,444.3846,300.2333,181.1595,274.2176
Cer(d12:0/19:0)+C2H3O2,556.4946,496.4735,466.4629,322.3116,181.1595,296.2959
Cer(d12:0/20:0)+C2H3O2,570.5102,510.4891,480.4785,336.3272,181.1595,310.3115
Cer(d12:0/20:1)+C2H3O2,568.4946,508.4735,478.4629,334.3116,181.1595,308.2959
Cer(d12:0/20:2)+C2H3O2,566.4789,506.4578,476.4472,332.2959,181.1595,306.2802
Cer(d12:0/20:3)+C2H3O2,564.4633,504.4422,474.4316,330.2803,181.1595,304.2646
Cer(d12:0/20:4)+C2H3O2,562.4476,502.4265,472.4159,328.2646,181.1595,302.2489
Cer(d12:0/20:5)+C2H3O2,560.432,500.4109,470.4003,326.249,181.1595,300.2333
Cer(d12:0/21:0)+C2H3O2,584.5259,524.5048,494.4942,350.3429,181.1595,324.3272
Cer(d12:0/22:0)+C2H3O2,598.5415,538.5204,508.5098,364.3585,181.1595,338.3428
Cer(d12:0/22:1)+C2H3O2,596.5259,536.5048,506.4942,362.3429,181.1595,336.3272
Cer(d12:0/22:2)+C2H3O2,594.5102,534.4891,504.4785,360.3272,181.1595,334.3115
Cer(d12:0/22:3)+C2H3O2,592.4946,532.4735,502.4629,358.3116,181.1595,332.2959
Cer(d12:0/22:4)+C2H3O2,590.4789,530.4578,500.4472,356.2959,181.1595,330.2802
Cer(d12:0/22:5)+C2H3O2,588.4633,528.4422,498.4316,354.2803,181.1595,328.2646
Cer(d12:0/22:6)+C2H3O2,586.4476,526.4265,496.4159,352.2646,181.1595,326.2489
