InflammLipids,[M-H]-,Frag1,Frag2,Frag3,Frag4,Frag5
5-OxoETE;,317.21225,,,,,
12-OxoETE;,317.21225,,,,,
"


5,6-EET; ",319.22785,,,,,
"8,9 EET",319.22785,,,,,
"11,12 EET",319.22785,,,,,
"14,15 EET",319.22785,,,,,
"5,6-DHET;",337.23845,,,,,
"8,9-DHET;",337.23845,,,,,
"11,12-DHET;",337.23845,,,,,
"14,15-DHET;",337.23845,,,,,
"


15H-11,12-EETA ",335.22285,,,,,
"11,12,15-THETA;",353.23335,,,,,
Hepoxilin A3;,335.22285,,,,,
Trioxilin A3,353.23335,,,,,
Hepoxilin B3,335.22285,,,,,
Trioxilin B3;,353.23335,,,,,
resolvin E1,349.202075,,,,,
resolvin E2,333.20715,,,,,
18S-RvE3,333.20715,,,,,
5-HETE,319.22785,,,,,
8-HETE,319.22785,,,,,
9-HETE,319.22785,,,,,
11-HETE,319.22785,,,,,
15-HETE,319.22785,59.0137,219.1391,319.2273,121.102,113.0971
20-HETE,319.22785,,,,,
19-HETE,319.22785,,,,,
15-HEPE,317.21225,,,,,
18-HEPE,317.21225,,,,,
"


12(R)-HPETE; ",335.22285,,,,,
"14,15-diHETE",333.20715,,,,,
"8S,15S-diHETE",333.20715,,,,,
17-HDHA,343.227895,,,,,
5(S)-HPETE;,335.22285,,,,,
"


12(S)-HPETE ",335.22285,,,,,
"


15-(S)-HPETE ",335.22285,,,,,
LTD4,495.25346,,,,,
LTE4,438.231996,,,,,
LTA4,317.21225,,,,,
LTC4,624.29605,,,,,
20-OH-LTE4,454.22695,,,,,
LTB4,335.22285,,,,,
"6-trans, 12-epi LTB4",319.227895,,,,,
6trans-LTB4,319.227895,,,,,
20-OH-LTB4,319.227895,,,,,
12-Keto-LTB4,333.20715,,,,,
20-COOH-LTB4,365.19695,,,,,
LTF4,567.27455,,,,,
PGD2,351.21775,,,,,
6-Keto-PGE1,367.21265,,,,,
PGE2,319.227895,,,,,
6-Keto-PGF1a,369.22825,,,,,
PGF2a,353.23335,,,,,
epi-PGF2a,353.23335,,,,,
11-epi-PGF2a,353.23335,,,,,
15-Keto-PGF2a,351.21775,,,,,
Dinor-PGF2alpha,325.20205,,,,,
PGA2,333.20715,,,,,
PGH2,351.21775,,,,,
PGB2,333.20715,,,,,
PGC2,333.20715,,,,,
PGG2,367.21265,,,,,
PGJ2,333.20715,,,,,
delta-12-PGJ2,333.20715,,,,,
15-Deoxy-PGJ2,315.19655,,,,,
PGD1,353.23335,,,,,
TXB3,367.21265,,,,,
TXB2,369.22825,,,,,
dehydro-TXB2,367.21265,,,,,
TXA2,351.21775,,,,,
LXA4,351.217725,,,,,
LXB4,351.217725,,,,,
AT-LXA4,351.217725,,,,,
"7S,17S-diHDPA",361.23846,,,,,
"19,20-diHDPA",361.23846,,,,,
"10S,17S-diHDHA",359.22281,,,,,
nPD1,359.22281,,,,,
MaR1,359.22281,,,,,
resolvin D1,375.217725,,,,,
resolvin d2,375.217725,,,,,
