SM,[M+C2H3O2]-,M-CH3,(P-Cho)-CH3-H
SM(16:0)+HCO2,511.3154,437.2739,168.0431
SM(18:0)+HCO2,539.3467,465.3052,168.0431
SM(20:0)+HCO2,567.378,493.3365,168.0431
SM(21:0)+HCO2,581.3937,507.3522,168.0431
SM(22:0)+HCO2,595.4093,521.3678,168.0431
SM(22:1)+HCO2,593.3937,519.3522,168.0431
SM(23:0)+HCO2,609.425,535.3835,168.0431
SM(23:1)+HCO2,607.4093,533.3678,168.0431
SM(24:0)+HCO2,623.4406,549.3991,168.0431
SM(24:1)+HCO2,621.425,547.3835,168.0431
SM(25:0)+HCO2,637.4563,563.4148,168.0431
SM(25:1)+HCO2,635.4406,561.3991,168.0431
SM(25:2)+HCO2,633.425,559.3835,168.0431
SM(26:0)+HCO2,651.4719,577.4304,168.0431
SM(26:1)+HCO2,649.4563,575.4148,168.0431
SM(26:2)+HCO2,647.4406,573.3991,168.0431
SM(26:3)+HCO2,645.425,571.3835,168.0431
SM(26:4)+HCO2,643.4093,569.3678,168.0431
SM(27:0)+HCO2,665.4876,591.4461,168.0431
SM(27:1)+HCO2,663.4719,589.4304,168.0431
SM(27:2)+HCO2,661.4563,587.4148,168.0431
SM(28:0)+HCO2,679.5032,605.4617,168.0431
SM(28:1)+HCO2,677.4876,603.4461,168.0431
SM(28:2)+HCO2,675.4719,601.4304,168.0431
SM(28:3)+HCO2,673.4563,599.4148,168.0431
SM(28:4)+HCO2,671.4406,597.3991,168.0431
SM(28:5)+HCO2,669.425,595.3835,168.0431
SM(29:0)+HCO2,693.5189,619.4774,168.0431
SM(29:1)+HCO2,691.5032,617.4617,168.0431
SM(29:2)+HCO2,689.4876,615.4461,168.0431
SM(30:0)+HCO2,707.5345,633.493,168.0431
SM(30:1)+HCO2,705.5189,631.4774,168.0431
SM(30:2)+HCO2,703.5032,629.4617,168.0431
SM(30:3)+HCO2,701.4876,627.4461,168.0431
SM(30:4)+HCO2,699.4719,625.4304,168.0431
SM(30:5)+HCO2,697.4563,623.4148,168.0431
SM(30:6)+HCO2,695.4406,621.3991,168.0431
SM(31:0)+HCO2,721.5502,647.5087,168.0431
SM(31:1)+HCO2,719.5346,645.4931,168.0431
SM(31:2)+HCO2,717.5189,643.4774,168.0431
SM(31:3)+HCO2,715.5033,641.4618,168.0431
SM(31:4)+HCO2,713.4876,639.4461,168.0431
SM(32:0)+HCO2,735.5658,661.5243,168.0431
SM(32:1)+HCO2,733.5502,659.5087,168.0431
