SM,[HC2H3O2]-,M-CH3,FA(16:0)-H,(P-Cho)-CH3-H
SM(d10:0/10:0)+C2H3O2,567.378,493.3365,171.139,168.0431
SM(d10:0/12:0)+C2H3O2,595.4093,521.3678,199.1703,168.0431
SM(d10:0/13:0)+C2H3O2,609.425,535.3835,213.186,168.0431
SM(d10:0/14:0)+C2H3O2,623.4406,549.3991,227.2016,168.0431
SM(d10:0/14:1)+C2H3O2,621.425,547.3835,225.186,168.0431
SM(d10:0/15:0)+C2H3O2,637.4563,563.4148,241.2173,168.0431
SM(d10:0/15:1)+C2H3O2,635.4406,561.3991,239.2016,168.0431
SM(d10:0/16:0)+C2H3O2,651.4719,577.4304,255.2329,168.0431
SM(d10:0/16:1)+C2H3O2,649.4563,575.4148,253.2173,168.0431
SM(d10:0/17:0)+C2H3O2,665.4876,591.4461,269.2486,168.0431
SM(d10:0/17:1)+C2H3O2,663.4719,589.4304,267.2329,168.0431
SM(d10:0/17:2)+C2H3O2,661.4563,587.4148,265.2173,168.0431
SM(d10:0/18:0)+C2H3O2,679.5032,605.4617,283.2642,168.0431
SM(d10:0/18:1)+C2H3O2,677.4876,603.4461,281.2486,168.0431
SM(d10:0/18:2)+C2H3O2,675.4719,601.4304,279.2329,168.0431
SM(d10:0/18:3)+C2H3O2,673.4563,599.4148,277.2173,168.0431
SM(d10:0/18:4)+C2H3O2,671.4406,597.3991,275.2016,168.0431
SM(d10:0/19:0)+C2H3O2,693.5189,619.4774,297.2799,168.0431
SM(d10:0/20:0)+C2H3O2,707.5345,633.493,311.2955,168.0431
SM(d10:0/20:1)+C2H3O2,705.5189,631.4774,309.2799,168.0431
SM(d10:0/20:2)+C2H3O2,703.5032,629.4617,307.2642,168.0431
SM(d10:0/20:3)+C2H3O2,701.4876,627.4461,305.2486,168.0431
SM(d10:0/20:4)+C2H3O2,699.4719,625.4304,303.2329,168.0431
SM(d10:0/20:5)+C2H3O2,697.4563,623.4148,301.2173,168.0431
SM(d10:0/21:0)+C2H3O2,721.5502,647.5087,325.3112,168.0431
SM(d10:0/22:0)+C2H3O2,735.5658,661.5243,339.3268,168.0431
SM(d10:0/22:1)+C2H3O2,733.5502,659.5087,337.3112,168.0431
SM(d10:0/22:2)+C2H3O2,731.5345,657.493,335.2955,168.0431
SM(d10:0/22:3)+C2H3O2,729.5189,655.4774,333.2799,168.0431
SM(d10:0/22:4)+C2H3O2,727.5032,653.4617,331.2642,168.0431
SM(d10:0/22:5)+C2H3O2,725.4876,651.4461,329.2486,168.0431
SM(d10:0/22:6)+C2H3O2,723.4719,649.4304,327.2329,168.0431
SM(d10:0/23:0)+C2H3O2,749.5815,675.54,353.3425,168.0431
SM(d10:0/24:0)+C2H3O2,763.5971,689.5556,367.3581,168.0431
SM(d10:0/24:1)+C2H3O2,761.5815,687.54,365.3425,168.0431
SM(d10:0/25:0)+C2H3O2,777.6128,703.5713,381.3738,168.0431
SM(d10:0/26:0)+C2H3O2,791.6284,717.5869,395.3894,168.0431
SM(d10:0/8:0)+C2H3O2,539.3467,465.3052,143.1077,168.0431
SM(d12:0/10:0)+C2H3O2,595.4093,521.3678,171.139,168.0431
SM(d12:0/12:0)+C2H3O2,623.4406,549.3991,199.1703,168.0431
SM(d12:0/13:0)+C2H3O2,637.4563,563.4148,213.186,168.0431
SM(d12:0/14:0)+C2H3O2,651.4719,577.4304,227.2016,168.0431
SM(d12:0/14:1)+C2H3O2,649.4563,575.4148,225.186,168.0431
SM(d12:0/15:0)+C2H3O2,665.4876,591.4461,241.2173,168.0431
SM(d12:0/15:1)+C2H3O2,663.4719,589.4304,239.2016,168.0431
SM(d12:0/16:0)+C2H3O2,679.5032,605.4617,255.2329,168.0431
SM(d12:0/16:1)+C2H3O2,677.4876,603.4461,253.2173,168.0431
SM(d12:0/17:0)+C2H3O2,693.5189,619.4774,269.2486,168.0431
SM(d12:0/17:1)+C2H3O2,691.5032,617.4617,267.2329,168.0431
SM(d12:0/17:2)+C2H3O2,689.4876,615.4461,265.2173,168.0431
SM(d12:0/18:0)+C2H3O2,707.5345,633.493,283.2642,168.0431
SM(d12:0/18:1)+C2H3O2,705.5189,631.4774,281.2486,168.0431
SM(d12:0/18:2)+C2H3O2,703.5032,629.4617,279.2329,168.0431
SM(d12:0/18:3)+C2H3O2,701.4876,627.4461,277.2173,168.0431
SM(d12:0/18:4)+C2H3O2,699.4719,625.4304,275.2016,168.0431
SM(d12:0/19:0)+C2H3O2,721.5502,647.5087,297.2799,168.0431
SM(d12:0/20:0)+C2H3O2,735.5658,661.5243,311.2955,168.0431
SM(d12:0/20:1)+C2H3O2,733.5502,659.5087,309.2799,168.0431
SM(d12:0/20:2)+C2H3O2,731.5345,657.493,307.2642,168.0431
SM(d12:0/20:3)+C2H3O2,729.5189,655.4774,305.2486,168.0431
SM(d12:0/20:4)+C2H3O2,727.5032,653.4617,303.2329,168.0431
SM(d12:0/20:5)+C2H3O2,725.4876,651.4461,301.2173,168.0431
SM(d12:0/21:0)+C2H3O2,749.5815,675.54,325.3112,168.0431
SM(d12:0/22:0)+C2H3O2,763.5971,689.5556,339.3268,168.0431
SM(d12:0/22:1)+C2H3O2,761.5815,687.54,337.3112,168.0431
SM(d12:0/22:2)+C2H3O2,759.5658,685.5243,335.2955,168.0431
SM(d12:0/22:3)+C2H3O2,757.5502,683.5087,333.2799,168.0431
SM(d12:0/22:4)+C2H3O2,755.5345,681.493,331.2642,168.0431
SM(d12:0/22:5)+C2H3O2,753.5189,679.4774,329.2486,168.0431
SM(d12:0/22:6)+C2H3O2,751.5032,677.4617,327.2329,168.0431
SM(d12:0/23:0)+C2H3O2,777.6128,703.5713,353.3425,168.0431
SM(d12:0/24:0)+C2H3O2,791.6284,717.5869,367.3581,168.0431
SM(d12:0/24:1)+C2H3O2,789.6128,715.5713,365.3425,168.0431
